ape_round,parent_prompt_id,prompt_id,prompt_family,prompt_text,target_word,pos,subcategory,reference_cue,generated_cue,semantic_similarity,brevity_score,target_leak_penalty,proxy_score
1,,ape_1_6ba2b870,resampled,"""為失語症患者創建一句簡單而具體的句子，描述他們的情感狀態。""",上廁所,動詞,動作,會坐/蹲在馬桶上執行動作,,0.0,0.0,1.0,0.0
1,,ape_1_6ba2b870,resampled,"""為失語症患者創建一句簡單而具體的句子，描述他們的情感狀態。""",下象棋,動詞,休閒娛樂,需要理解不同棋子的移動規則才能下得好,會坐在桌前，雙手握著棋子，,0.29329538345336914,1.0,0.0,0.4346363067626953
1,,ape_1_6ba2b870,resampled,"""為失語症患者創建一句簡單而具體的句子，描述他們的情感狀態。""",假牙,名詞,輔具,剛戴上時可能會有異物感,適合咀嚼和固定殘齒,0.38391390442848206,1.0,0.0,0.5071311235427857
1,,ape_1_6ba2b870,resampled,"""為失語症患者創建一句簡單而具體的句子，描述他們的情感狀態。""",傘,名詞,生活用品,"用完後要晾乾,不然會發霉","需要防水設計,防止雨淋",0.4206596314907074,1.0,0.0,0.5365277051925659
1,,ape_1_6ba2b870,resampled,"""為失語症患者創建一句簡單而具體的句子，描述他們的情感狀態。""",公園,名詞,娛樂場所,適合散步、慢跑的區域,遊樂區裡有廣闊的空地和,0.5461229085922241,1.0,0.0,0.6368983268737793
1,,ape_1_6ba2b870,resampled,"""為失語症患者創建一句簡單而具體的句子，描述他們的情感狀態。""",公車,名詞,交通工具,票價便宜,,0.0,0.0,1.0,0.0
1,,ape_1_6ba2b870,resampled,"""為失語症患者創建一句簡單而具體的句子，描述他們的情感狀態。""",冰淇淋,名詞,食物,吃起來冰涼黏稠,,0.0,0.0,1.0,0.0
1,,ape_1_6ba2b870,resampled,"""為失語症患者創建一句簡單而具體的句子，描述他們的情感狀態。""",冰箱,名詞,電器用品,"長方形,有兩個門",冷藏庫、溫控系統、食物保存,0.25175249576568604,1.0,0.0,0.40140199661254883
1,,ape_1_6ba2b870,resampled,"""為失語症患者創建一句簡單而具體的句子，描述他們的情感狀態。""",冷氣,名詞,電器用品,開27度可以環保愛地球,,0.0,0.0,1.0,0.0
1,,ape_1_6ba2b870,resampled,"""為失語症患者創建一句簡單而具體的句子，描述他們的情感狀態。""",刷牙,動詞,動作,正確的XX方式是由上往下、由內到外,每天早晚各一次,0.2312180995941162,1.0,0.0,0.38497447967529297
1,,ape_1_6ba2b870,resampled,"""為失語症患者創建一句簡單而具體的句子，描述他們的情感狀態。""",削水果,動詞,動作,通常使用在蘋果、梨子、棗子等較硬的果皮上,切水果,0.7086193561553955,0.75,0.0,0.7168954849243164
1,,ape_1_6ba2b870,resampled,"""為失語症患者創建一句簡單而具體的句子，描述他們的情感狀態。""",剪刀,名詞,生活用品,大部分是塑膠手柄,"需要切割紙張,方便裁切",0.4609975218772888,1.0,0.0,0.568798017501831
1,,ape_1_6ba2b870,resampled,"""為失語症患者創建一句簡單而具體的句子，描述他們的情感狀態。""",剪指甲,動詞,動作,需要使用專門的小工具,,0.0,0.0,1.0,0.0
1,,ape_1_6ba2b870,resampled,"""為失語症患者創建一句簡單而具體的句子，描述他們的情感狀態。""",助聽器,名詞,輔具,需要定期更換電池或充電,需要定期調整音量或連接電源,0.6054846048355103,1.0,0.0,0.6843876838684082
1,,ape_1_6ba2b870,resampled,"""為失語症患者創建一句簡單而具體的句子，描述他們的情感狀態。""",原子筆,名詞,文具,按一下或轉一下可推出筆芯,書本上的常用文具之一，常被用於,0.37147921323776245,1.0,0.0,0.49718337059021
1,,ape_1_6ba2b870,resampled,"""為失語症患者創建一句簡單而具體的句子，描述他們的情感狀態。""",叉子,名詞,餐具,兒童款的XX會比較圓潤,,0.0,0.0,1.0,0.0
1,,ape_1_6ba2b870,resampled,"""為失語症患者創建一句簡單而具體的句子，描述他們的情感狀態。""",吃飯,動詞,動作,一天三餐,一日三餐,0.9919353127479553,1.0,0.0,0.9935482501983643
1,,ape_1_6ba2b870,resampled,"""為失語症患者創建一句簡單而具體的句子，描述他們的情感狀態。""",吐司,名詞,食物,拉肚子的時候會吃的,一種早餐常用的薄脆面包片,0.5593022108078003,1.0,0.0,0.6474417686462403
1,,ape_1_6ba2b870,resampled,"""為失語症患者創建一句簡單而具體的句子，描述他們的情感狀態。""",吸塵器,名詞,電器用品,分為無線與有線兩種,旋轉、攜帶、清潔地毯,0.1288716197013855,1.0,0.0,0.30309729576110844
1,,ape_1_6ba2b870,resampled,"""為失語症患者創建一句簡單而具體的句子，描述他們的情感狀態。""",吹風機,名詞,電器用品,"部分有折疊設計,方便攜帶",風扇、電動、轉動,0.42209309339523315,1.0,0.0,0.5376744747161866
1,,ape_1_6ba2b870,resampled,"""為失語症患者創建一句簡單而具體的句子，描述他們的情感狀態。""",咳嗽,動詞,動作,會泡陳皮和柿餅茶來緩解症狀,咳著痰,0.33921167254447937,0.75,0.0,0.4213693380355835
1,,ape_1_6ba2b870,resampled,"""為失語症患者創建一句簡單而具體的句子，描述他們的情感狀態。""",唱歌,動詞,休閒娛樂,"有時會搭配樂器,如吉他、鋼琴或卡拉OK伴奏",會配上樂器，如吉他、鋼琴或卡拉,0.95460045337677,1.0,0.0,0.9636803627014161
1,,ape_1_6ba2b870,resampled,"""為失語症患者創建一句簡單而具體的句子，描述他們的情感狀態。""",喝水,動詞,動作,有些人會加入檸檬等來增加味道,,0.0,0.0,1.0,0.0
1,,ape_1_6ba2b870,resampled,"""為失語症患者創建一句簡單而具體的句子，描述他們的情感狀態。""",圖書館,名詞,學校,有電腦可以查詢館藏資料,,0.0,0.0,1.0,0.0
1,,ape_1_6ba2b870,resampled,"""為失語症患者創建一句簡單而具體的句子，描述他們的情感狀態。""",地瓜球,名詞,食物,"用紙袋裝,用竹籤戳著吃",一種甜點，通常由土豆和糖製作而成,0.3067285418510437,1.0,0.0,0.44538283348083496
1,,ape_1_6ba2b870,resampled,"""為失語症患者創建一句簡單而具體的句子，描述他們的情感狀態。""",寫字,動詞,動作,學生上課時經常做的事情,拿起筆和紙，開始書寫,0.3990795612335205,1.0,0.0,0.5192636489868164
1,,ape_1_6ba2b870,resampled,"""為失語症患者創建一句簡單而具體的句子，描述他們的情感狀態。""",帽子,名詞,服飾&配件,冬天的款式有時會加內襯,,0.0,0.0,1.0,0.0
1,,ape_1_6ba2b870,resampled,"""為失語症患者創建一句簡單而具體的句子，描述他們的情感狀態。""",床,名詞,家具,"有收納空間,底下可以放東西",睡覺的地方，通常放在哪裡,0.5025518536567688,1.0,0.0,0.602041482925415
1,,ape_1_6ba2b870,resampled,"""為失語症患者創建一句簡單而具體的句子，描述他們的情感狀態。""",手機,名詞,電器用品,耳機、充電線、網路,連接器、數據線、應用程式,0.6876040697097778,1.0,0.0,0.7500832557678223
