target_word,subcategory,final_generated_cue,image_prompt,raw_image_path,mobile_image_path,generation_status,error_message
火車,交通工具,需要購票才能登車,"a realistic 火車, clear full view, simple background, high clarity",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_raw\交通工具\火車.png,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\交通工具\火車.jpg,success,
汽車,交通工具,需要車道才能行駛,"a realistic 汽車, clear full view, simple background, high clarity",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_raw\交通工具\汽車.png,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\交通工具\汽車.jpg,success,
自行車,交通工具,騎行方便，速度快，適合短途出行,"a realistic 自行車, clear full view, simple background, high clarity",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_raw\交通工具\自行車.png,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\交通工具\自行車.jpg,success,
高鐵,交通工具,需要刷卡才能進站,"a realistic 高鐵, clear full view, simple background, high clarity",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_raw\交通工具\高鐵.png,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\交通工具\高鐵.jpg,success,
公車,交通工具,上車後，找到自己的座位，系好安全帶,"a realistic 公車, clear full view, simple background, high clarity",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_raw\交通工具\公車.png,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\交通工具\公車.jpg,success,
摩托車,交通工具,騎行在城市街道上，感受風吹拂臉頰,"a realistic 摩托車, clear full view, simple background, high clarity",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_raw\交通工具\摩托車.png,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\交通工具\摩托車.jpg,success,
泡茶,休閒娛樂,將水倒入茶壺，加入紅茶包和糖，輕輕,"a realistic illustration of the action or activity 泡茶, simple scene, high clarity",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_raw\休閒娛樂\泡茶.png,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\休閒娛樂\泡茶.jpg,success,
下象棋,休閒娛樂,盤上落子，棋局起始，靜候勝負爭奪,"a realistic illustration of the action or activity 下象棋, simple scene, high clarity",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_raw\休閒娛樂\下象棋.png,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\休閒娛樂\下象棋.jpg,success,
跳舞,休閒娛樂,在空曠場地隨意扭轉身體，與同伴互動，,"a realistic illustration of the action or activity 跳舞, simple scene, high clarity",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_raw\休閒娛樂\跳舞.png,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\休閒娛樂\跳舞.jpg,success,
唱歌,休閒娛樂,在空蕩的房間裡唱著歌，讓心情更加愉快,"a realistic illustration of the action or activity 唱歌, simple scene, high clarity",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_raw\休閒娛樂\唱歌.png,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\休閒娛樂\唱歌.jpg,success,
購物,休閒娛樂,在超市裡逛逛，看看你想買什麼,"a realistic illustration of the action or activity 購物, simple scene, high clarity",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_raw\休閒娛樂\購物.png,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\休閒娛樂\購物.jpg,success,
打拳,休閒娛樂,在公園裡揮舞手臂，感受風和陽光,"a realistic illustration of the action or activity 打拳, simple scene, high clarity",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_raw\休閒娛樂\打拳.png,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\休閒娛樂\打拳.jpg,success,
登山,休閒娛樂,在山頂遠眺，感受風景無比壯闊,"a realistic illustration of the action or activity 登山, simple scene, high clarity",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_raw\休閒娛樂\登山.png,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\休閒娛樂\登山.jpg,success,
散步,休閒娛樂,,"a realistic illustration of the action or activity 散步, simple scene, high clarity",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_raw\休閒娛樂\散步.png,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\休閒娛樂\散步.jpg,success,
看書,休閒娛樂,,"a realistic illustration of the action or activity 看書, simple scene, high clarity",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_raw\休閒娛樂\看書.png,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\休閒娛樂\看書.jpg,success,
看電視,休閒娛樂,,"a realistic illustration of the action or activity 看電視, simple scene, high clarity",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_raw\休閒娛樂\看電視.png,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\休閒娛樂\看電視.jpg,success,
削水果,動作,切開水果，準備飲食時,"a realistic illustration of the action or activity 削水果, simple scene, high clarity",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_raw\動作\削水果.png,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\動作\削水果.jpg,success,
洗澡,動作,早晨洗漱後，感覺更清爽,"a realistic illustration of the action or activity 洗澡, simple scene, high clarity",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_raw\動作\洗澡.png,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\動作\洗澡.jpg,success,
掃地,動作,早晨起床後，拖把開始工作，清理地板,"a realistic illustration of the action or activity 掃地, simple scene, high clarity",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_raw\動作\掃地.png,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\動作\掃地.jpg,success,
上廁所,動作,在離馬桶稍遠的地方準備好紙巾和毛巾，然後輕,"a realistic illustration of the action or activity 上廁所, simple scene, high clarity",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_raw\動作\上廁所.png,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\動作\上廁所.jpg,success,
吃飯,動作,早晨起床後，準備早餐，開始新的一天,"a realistic illustration of the action or activity 吃飯, simple scene, high clarity",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_raw\動作\吃飯.png,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\動作\吃飯.jpg,success,
量體溫,動作,正確地測量自己的體溫，確保健康,"a realistic illustration of the action or activity 量體溫, simple scene, high clarity",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_raw\動作\量體溫.png,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\動作\量體溫.jpg,success,
穿鞋子,動作,穿上鞋跟，開始新的一天,"a realistic illustration of the action or activity 穿鞋子, simple scene, high clarity",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_raw\動作\穿鞋子.png,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\動作\穿鞋子.jpg,success,
剪指甲,動作,早晨起床後，先整理床鋪，再修剪手指甲,"a realistic illustration of the action or activity 剪指甲, simple scene, high clarity",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_raw\動作\剪指甲.png,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\動作\剪指甲.jpg,success,
擦汗,動作,在洗澡時，擦拭身上的汗水,"a realistic illustration of the action or activity 擦汗, simple scene, high clarity",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_raw\動作\擦汗.png,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\動作\擦汗.jpg,success,
喝水,動作,早晨起床後，先喝杯水，再開始新的一天,"a realistic illustration of the action or activity 喝水, simple scene, high clarity",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_raw\動作\喝水.png,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\動作\喝水.jpg,success,
寫字,動作,拿起筆，在紙上寫下自己的想法,"a realistic illustration of the action or activity 寫字, simple scene, high clarity",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_raw\動作\寫字.png,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\動作\寫字.jpg,success,
睡覺,動作,早晨起床後，先換衣再洗漱,"a realistic illustration of the action or activity 睡覺, simple scene, high clarity",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_raw\動作\睡覺.png,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\動作\睡覺.jpg,success,
擦桌子,動作,在用餐後，將桌布收起，準備清理桌面,"a realistic illustration of the action or activity 擦桌子, simple scene, high clarity",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_raw\動作\擦桌子.png,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\動作\擦桌子.jpg,success,
