target_word,subcategory,final_generated_cue,image_path
公車,交通工具,上車後，找到自己的座位，系好安全帶,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\交通工具\公車.jpg
摩托車,交通工具,騎行在城市街道上，感受風吹拂臉頰,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\交通工具\摩托車.jpg
汽車,交通工具,需要車道才能行駛,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\交通工具\汽車.jpg
火車,交通工具,需要購票才能登車,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\交通工具\火車.jpg
自行車,交通工具,騎行方便，速度快，適合短途出行,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\交通工具\自行車.jpg
高鐵,交通工具,需要刷卡才能進站,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\交通工具\高鐵.jpg
下象棋,休閒娛樂,盤上落子，棋局起始，靜候勝負爭奪,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\休閒娛樂\下象棋.jpg
唱歌,休閒娛樂,在空蕩的房間裡唱著歌，讓心情更加愉快,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\休閒娛樂\唱歌.jpg
打拳,休閒娛樂,在公園裡揮舞手臂，感受風和陽光,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\休閒娛樂\打拳.jpg
散步,休閒娛樂,,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\休閒娛樂\散步.jpg
泡茶,休閒娛樂,將水倒入茶壺，加入紅茶包和糖，輕輕,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\休閒娛樂\泡茶.jpg
登山,休閒娛樂,在山頂遠眺，感受風景無比壯闊,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\休閒娛樂\登山.jpg
看書,休閒娛樂,,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\休閒娛樂\看書.jpg
看電視,休閒娛樂,,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\休閒娛樂\看電視.jpg
購物,休閒娛樂,在超市裡逛逛，看看你想買什麼,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\休閒娛樂\購物.jpg
跳舞,休閒娛樂,在空曠場地隨意扭轉身體，與同伴互動，,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\休閒娛樂\跳舞.jpg
上廁所,動作,在離馬桶稍遠的地方準備好紙巾和毛巾，然後輕,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\動作\上廁所.jpg
刷牙,動作,,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\動作\刷牙.jpg
削水果,動作,切開水果，準備飲食時,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\動作\削水果.jpg
剪指甲,動作,早晨起床後，先整理床鋪，再修剪手指甲,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\動作\剪指甲.jpg
吃飯,動作,早晨起床後，準備早餐，開始新的一天,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\動作\吃飯.jpg
咳嗽,動作,咳嗚聲在喉嚨裡響起，開始了清嗓,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\動作\咳嗽.jpg
喝水,動作,早晨起床後，先喝杯水，再開始新的一天,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\動作\喝水.jpg
寫字,動作,拿起筆，在紙上寫下自己的想法,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\動作\寫字.jpg
打噴嚏,動作,早晨起床時，突然發出清脆的聲音,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\動作\打噴嚏.jpg
拍照,動作,拍下全家福，留下美好記憶,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\動作\拍照.jpg
掃地,動作,早晨起床後，拖把開始工作，清理地板,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\動作\掃地.jpg
摺衣服,動作,整理衣物，準備上床,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\動作\摺衣服.jpg
擦桌子,動作,在用餐後，將桌布收起，準備清理桌面,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\動作\擦桌子.jpg
擦汗,動作,在洗澡時，擦拭身上的汗水,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\動作\擦汗.jpg
擦眼鏡,動作,早晨起床後，先檢查鏡子，再擦拭眼鏡,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\動作\擦眼鏡.jpg
洗澡,動作,早晨洗漱後，感覺更清爽,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\動作\洗澡.jpg
煮飯,動作,早晨起床後，準備早餐，開始新的一天,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\動作\煮飯.jpg
睡覺,動作,早晨起床後，先換衣再洗漱,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\動作\睡覺.jpg
穿衣服,動作,早晨起床後，整理床鋪，準備開始新的一天,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\動作\穿衣服.jpg
穿鞋子,動作,穿上鞋跟，開始新的一天,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\動作\穿鞋子.jpg
綁鞋帶,動作,早晨起床後，準備好鞋子，將鞋帶打結,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\動作\綁鞋帶.jpg
綁頭髮,動作,早晨起床後，梳洗打扮，整理髮型,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\動作\綁頭髮.jpg
聊天,動作,準備與家人朋友交流，分享今天的好消息,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\動作\聊天.jpg
量體溫,動作,正確地測量自己的體溫，確保健康,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\動作\量體溫.jpg
開門,動作,,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\動作\開門.jpg
牛,動物,有頭、有角、黑白相間，常在田間地頭,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\動物\牛.jpg
狗,動物,汪汪叫，跑在田野上，主人家裡會養,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\動物\狗.jpg
豬,動物,有時會拱背，有時會哼唧，喜歡在田間,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\動物\豬.jpg
貓,動物,"有時很黏人,有時愛獨處,個性多變",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\動物\貓.jpg
雞,動物,家禽，喜欢吃谷粒和虫子，有时候也会在地面上啄,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\動物\雞.jpg
珍珠奶茶,喝,,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\喝\珍珠奶茶.jpg
紅茶,喝,飲料店裡有售红茶,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\喝\紅茶.jpg
豆漿,喝,,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\喝\豆漿.jpg
公園,娛樂場所,遊樂區有秋千和沙坑，小朋友們愛玩其中,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\娛樂場所\公園.jpg
電影院,娛樂場所,,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\娛樂場所\電影院.jpg
圖書館,學校,在學校裡有一個地方供學生借閱書籍，那兒通常,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\學校\圖書館.jpg
床,家具,,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\家具\床.jpg
桌子,家具,圍桌而坐，共進餐食,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\家具\桌子.jpg
衣櫃,家具,,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\家具\衣櫃.jpg
鏡子,家具,,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\家具\鏡子.jpg
砧板,廚房用品,使用時保持平穩，輕輕敲打,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\廚房用品\砧板.jpg
菜刀,廚房用品,使用時注意手勢和切割角度，確保安全與效果,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\廚房用品\菜刀.jpg
鍋子,廚房用品,使用時注意清洗，保持鍋內乾淨,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\廚房用品\鍋子.jpg
原子筆,文具,輕輕一按，啟動智慧靈感,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\文具\原子筆.jpg
帽子,服飾&配件,,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\服飾&配件\帽子.jpg
衣服,服飾&配件,冬天穿厚點保暖，夏天少穿露腳趾,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\服飾&配件\衣服.jpg
襪子,服飾&配件,冬天穿太多會累，夏天穿太少會熱,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\服飾&配件\襪子.jpg
芒果,水果,帶有鮮艷黃色外皮和橙色斑點,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\水果\芒果.jpg
草莓,水果,帶有鮮艷紅色外皮和小巧圓潤形狀,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\水果\草莓.jpg
葡萄,水果,它的皮薄而多汁，常見於夏季餐桌上,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\水果\葡萄.jpg
蘋果,水果,會在手中形成一個圓形,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\水果\蘋果.jpg
香蕉,水果,皮膚光滑，黃色外觀，常成串販售,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\水果\香蕉.jpg
