subcategory,target_word,reference_best_human_cue,final_generated_cue,proxy_score,manual_label,notes
動作,上廁所,會坐/蹲在馬桶上執行動作,在離馬桶稍遠的地方準備好紙巾和毛巾，然後輕,0.6614503971167973,,
休閒娛樂,下象棋,需要理解不同棋子的移動規則才能下得好,盤上落子，棋局起始，靜候勝負爭奪,0.6722826778888702,,
輔具,假牙,剛戴上時可能會有異物感,,0.0,,
生活用品,傘,"用完後要晾乾,不然會發霉","需要防風防水,方便攜帶出行",0.5016423612833023,,
娛樂場所,公園,適合散步、慢跑的區域,遊樂區有秋千和沙坑，小朋友們愛玩其中,0.6274588882923127,,
交通工具,公車,票價便宜,上車後，找到自己的座位，系好安全帶,0.4981353342533111,,
食物,冰淇淋,吃起來冰涼黏稠,,0.0,,
電器用品,冰箱,"長方形,有兩個門",冷風、冷藏、旋轉、放置桌上,0.5769817024469375,,
電器用品,冷氣,開27度可以環保愛地球,,0.0,,
動作,刷牙,正確的XX方式是由上往下、由內到外,,0.0,,
動作,削水果,通常使用在蘋果、梨子、棗子等較硬的果皮上,切開水果，準備飲食時,0.7546607732772826,,
生活用品,剪刀,大部分是塑膠手柄,"需要定期磨損,保持鋒利",0.5414675593376159,,
動作,剪指甲,需要使用專門的小工具,早晨起床後，先整理床鋪，再修剪手指甲,0.5640112578868866,,
輔具,助聽器,需要定期更換電池或充電,需要定期調整音量調節旋鈕或連接線,0.5901486217975616,,
文具,原子筆,按一下或轉一下可推出筆芯,輕輕一按，啟動智慧靈感,0.7399741053581237,,
餐具,叉子,兒童款的XX會比較圓潤,,0.0,,
動作,吃飯,一天三餐,早晨起床後，準備早餐，開始新的一天,0.6516227424144745,,
食物,吐司,拉肚子的時候會吃的,一種薄脆的面包片，通常搭配奶油或果酱食用,0.6618627548217773,,
電器用品,吸塵器,分為無線與有線兩種,旋轉手柄、吸盤、地面,0.4504341214895248,,
