ape_round,parent_prompt_id,prompt_id,prompt_family,prompt_text,target_word,pos,subcategory,reference_cue,generated_cue
0,,p001,few_shot,請參考示例風格，為新的目標詞彙產生一個簡短、自然、容易理解的提示句，協助失語症患者說出答案。不可直接說出目標詞。,上廁所,動詞,動作,會坐/蹲在馬桶上執行動作,在需要時前往衛生間
0,,p001,few_shot,請參考示例風格，為新的目標詞彙產生一個簡短、自然、容易理解的提示句，協助失語症患者說出答案。不可直接說出目標詞。,下象棋,動詞,休閒娛樂,需要理解不同棋子的移動規則才能下得好,盤上落子，棋局起始
0,,p001,few_shot,請參考示例風格，為新的目標詞彙產生一個簡短、自然、容易理解的提示句，協助失語症患者說出答案。不可直接說出目標詞。,假牙,名詞,輔具,剛戴上時可能會有異物感,需要定期檢查和清潔
0,,p001,few_shot,請參考示例風格，為新的目標詞彙產生一個簡短、自然、容易理解的提示句，協助失語症患者說出答案。不可直接說出目標詞。,傘,名詞,生活用品,"用完後要晾乾,不然會發霉",雨天遮陽工具
0,,p001,few_shot,請參考示例風格，為新的目標詞彙產生一個簡短、自然、容易理解的提示句，協助失語症患者說出答案。不可直接說出目標詞。,公園,名詞,娛樂場所,適合散步、慢跑的區域,
0,,p001,few_shot,請參考示例風格，為新的目標詞彙產生一個簡短、自然、容易理解的提示句，協助失語症患者說出答案。不可直接說出目標詞。,公車,名詞,交通工具,票價便宜,需要車票才能上車
0,,p001,few_shot,請參考示例風格，為新的目標詞彙產生一個簡短、自然、容易理解的提示句，協助失語症患者說出答案。不可直接說出目標詞。,冰淇淋,名詞,食物,吃起來冰涼黏稠,
0,,p001,few_shot,請參考示例風格，為新的目標詞彙產生一個簡短、自然、容易理解的提示句，協助失語症患者說出答案。不可直接說出目標詞。,冰箱,名詞,電器用品,"長方形,有兩個門",冷藏食物、儲存食材
0,,p001,few_shot,請參考示例風格，為新的目標詞彙產生一個簡短、自然、容易理解的提示句，協助失語症患者說出答案。不可直接說出目標詞。,冷氣,名詞,電器用品,開27度可以環保愛地球,如何調節室內溫度
0,,p001,few_shot,請參考示例風格，為新的目標詞彙產生一個簡短、自然、容易理解的提示句，協助失語症患者說出答案。不可直接說出目標詞。,刷牙,動詞,動作,正確的XX方式是由上往下、由內到外,每天早晨清洁口腔
0,,p001,few_shot,請參考示例風格，為新的目標詞彙產生一個簡短、自然、容易理解的提示句，協助失語症患者說出答案。不可直接說出目標詞。,削水果,動詞,動作,通常使用在蘋果、梨子、棗子等較硬的果皮上,切掉水果上的皮或肉
