ape_round,parent_prompt_id,subcategory,prompt_id,prompt_family,prompt_text,target_word,pos,reference_cue,generated_cue,semantic_similarity,brevity_score,target_leak_penalty,proxy_score
1,交通工具_p01,交通工具,交通工具_ape_1_28e0bada,category_resampled,您可以描述一下，當您看到一個固定的路線，有很多人一起搭乘時，您會如何感覺？這會讓您想起什麼特定的情境？,公車,名詞,票價便宜,,0.0,0.0,1.0,0.0
1,交通工具_p01,交通工具,交通工具_ape_1_28e0bada,category_resampled,您可以描述一下，當您看到一個固定的路線，有很多人一起搭乘時，您會如何感覺？這會讓您想起什麼特定的情境？,摩托車,名詞,需要加汽油或電力才能運行,,0.0,0.0,1.0,0.0
1,交通工具_p01,交通工具,交通工具_ape_1_28e0bada,category_resampled,您可以描述一下，當您看到一個固定的路線，有很多人一起搭乘時，您會如何感覺？這會讓您想起什麼特定的情境？,汽車,名詞,需要加油才能行駛,,0.0,0.0,1.0,0.0
1,交通工具_p01,交通工具,交通工具_ape_1_28e0bada,category_resampled,您可以描述一下，當您看到一個固定的路線，有很多人一起搭乘時，您會如何感覺？這會讓您想起什麼特定的情境？,火車,名詞,"需要購票搭乘,有分自由座和對號座",,0.0,0.0,1.0,0.0
1,交通工具_p01,交通工具,交通工具_ape_1_28e0bada,category_resampled,您可以描述一下，當您看到一個固定的路線，有很多人一起搭乘時，您會如何感覺？這會讓您想起什麼特定的情境？,自行車,名詞,運動或代步皆適合,,0.0,0.0,1.0,0.0
1,交通工具_p01,交通工具,交通工具_ape_1_28e0bada,category_resampled,您可以描述一下，當您看到一個固定的路線，有很多人一起搭乘時，您會如何感覺？這會讓您想起什麼特定的情境？,高鐵,名詞,"透過電力驅動,行駛於專用軌道上",當您看到一列高速運行的鐵路列車時，您,0.2956256866455078,1.0,0.0,0.5069379806518555
1,動作_p03,動作,動作_ape_1_b01dd8bd,category_resampled,**描述動作時的典型情境**：,上廁所,動詞,會坐/蹲在馬桶上執行動作,在需要時，定期進行這件事情，有益於保持衛生和,0.34857696294784546,0.9090909090909091,0.0,0.5167311467907645
1,動作_p03,動作,動作_ape_1_b01dd8bd,category_resampled,**描述動作時的典型情境**：,刷牙,動詞,正確的XX方式是由上往下、由內到外,,0.0,0.0,1.0,0.0
1,動作_p03,動作,動作_ape_1_b01dd8bd,category_resampled,**描述動作時的典型情境**：,削水果,動詞,通常使用在蘋果、梨子、棗子等較硬的果皮上,切水果時，手需要輕巧地在刀刃上滑過,0.6282714605331421,1.0,0.0,0.7397900223731995
1,動作_p03,動作,動作_ape_1_b01dd8bd,category_resampled,**描述動作時的典型情境**：,剪指甲,動詞,需要使用專門的小工具,"正確地修剪手指甲, 保持手部乾淨整洁",0.4465908408164978,1.0,0.0,0.6126135885715485
1,動作_p03,動作,動作_ape_1_b01dd8bd,category_resampled,**描述動作時的典型情境**：,吃飯,動詞,一天三餐,每天定时吃饭，保持身体健康,0.7075213193893433,1.0,0.0,0.7952649235725402
1,動作_p03,動作,動作_ape_1_b01dd8bd,category_resampled,**描述動作時的典型情境**：,咳嗽,動詞,會泡陳皮和柿餅茶來緩解症狀,咳嗚時常發生在打噴嚏或吸煙後,0.30209097266197205,1.0,0.0,0.5114636808633803
1,動作_p03,動作,動作_ape_1_b01dd8bd,category_resampled,**描述動作時的典型情境**：,喝水,動詞,有些人會加入檸檬等來增加味道,在忙碌的一天中，記得喝杯水，保持水分充足,0.40806639194488525,1.0,0.0,0.5856464743614196
1,動作_p03,動作,動作_ape_1_b01dd8bd,category_resampled,**描述動作時的典型情境**：,寫字,動詞,學生上課時經常做的事情,拿起筆和紙，開始記錄想法,0.4067443609237671,1.0,0.0,0.5847210526466369
1,動作_p03,動作,動作_ape_1_b01dd8bd,category_resampled,**描述動作時的典型情境**：,打噴嚏,動詞,生病時會更頻繁發生,當你感到鼻腔有異物感時，不妨試著打個,0.3961753249168396,1.0,0.0,0.5773227274417877
1,動作_p03,動作,動作_ape_1_b01dd8bd,category_resampled,**描述動作時的典型情境**：,拍照,動詞,光線、角度和背景會影響結果,拿起手機，按下快門，捕捉美好瞬間,0.18562112748622894,1.0,0.0,0.4299347892403602
1,動作_p03,動作,動作_ape_1_b01dd8bd,category_resampled,**描述動作時的典型情境**：,掃地,動詞,"搭配拖地效果更好,讓地板變得更潔淨",整理家中的雜物，讓地板更乾淨,0.8371045589447021,1.0,0.0,0.8859731912612914
1,動作_p03,動作,動作_ape_1_b01dd8bd,category_resampled,**描述動作時的典型情境**：,摺衣服,動詞,有些人會用專門的板子來幫助摺整齊,整理衣物，準備上床,0.3043838143348694,1.0,0.0,0.5130686700344085
1,動作_p03,動作,動作_ape_1_b01dd8bd,category_resampled,**描述動作時的典型情境**：,擦桌子,動詞,在餐廳、學校、辦公室都很常見,整理桌面，準備用餐時,0.42408186197280884,1.0,0.0,0.5968573033809661
1,動作_p03,動作,動作_ape_1_b01dd8bd,category_resampled,**描述動作時的典型情境**：,擦汗,動詞,用力過大可能會讓皮膚泛紅,擦拭額頭上的汗水,0.5062722563743591,1.0,0.0,0.6543905794620514
1,動作_p03,動作,動作_ape_1_b01dd8bd,category_resampled,**描述動作時的典型情境**：,擦眼鏡,動詞,太用力可能會導致損壞,戴上老花镜，檢查視力，適時調整,0.006695042364299297,1.0,0.0,0.3046865296550095
1,動作_p03,動作,動作_ape_1_b01dd8bd,category_resampled,**描述動作時的典型情境**：,洗澡,動詞,讓身體保持乾淨清新的動作,洗完澡後感到舒適和乾淨,0.6739377379417419,1.0,0.0,0.7717564165592193
1,動作_p03,動作,動作_ape_1_b01dd8bd,category_resampled,**描述動作時的典型情境**：,煮飯,動詞,要使用各種食材、廚具和調味料,,0.0,0.0,1.0,0.0
1,動作_p03,動作,動作_ape_1_b01dd8bd,category_resampled,**描述動作時的典型情境**：,睡覺,動詞,"適當的時間內完成這件事,有助於健康",早上起床前，準備好床鋪和毛巾,0.26213160157203674,1.0,0.0,0.4834921211004257
1,動作_p03,動作,動作_ape_1_b01dd8bd,category_resampled,**描述動作時的典型情境**：,穿衣服,動詞,可以做不同的搭配,整理衣物，準備上床休息,0.19103601574897766,1.0,0.0,0.43372521102428435
1,動作_p03,動作,動作_ape_1_b01dd8bd,category_resampled,**描述動作時的典型情境**：,穿鞋子,動詞,"如果穿錯腳,會覺得不舒服",脫鞋，穿鞋，準備出行,0.5069239735603333,1.0,0.0,0.6548467814922332
1,動作_p03,動作,動作_ape_1_b01dd8bd,category_resampled,**描述動作時的典型情境**：,綁鞋帶,動詞,小朋友通常需要學習怎麼綁,把鞋帶繞在腳踝上，然後拉緊固定,0.3153632879257202,1.0,0.0,0.5207543015480041
1,動作_p03,動作,動作_ape_1_b01dd8bd,category_resampled,**描述動作時的典型情境**：,綁頭髮,動詞,需要使用特定的工具來固定,整理好帽子，準備外出,0.239935964345932,1.0,0.0,0.4679551750421524
1,動作_p03,動作,動作_ape_1_b01dd8bd,category_resampled,**描述動作時的典型情境**：,聊天,動詞,在家裡、工作場合、咖啡廳等都很常見,和朋友分享你的近况，聊聊最近發生的事,0.12113665044307709,1.0,0.0,0.3847956553101539
1,動作_p03,動作,動作_ape_1_b01dd8bd,category_resampled,**描述動作時的典型情境**：,量體溫,動詞,需要使用特定的測量工具,,0.0,0.0,1.0,0.0
1,動作_p03,動作,動作_ape_1_b01dd8bd,category_resampled,**描述動作時的典型情境**：,開門,動詞,"轉動把手,讓進出口變暢通的動作",,0.0,0.0,1.0,0.0
1,動作_p03,動作,動作_ape_1_4fbdc65c,category_resampled,**目標詞彙**：吃早餐,上廁所,動詞,會坐/蹲在馬桶上執行動作,,0.0,0.0,1.0,0.0
1,動作_p03,動作,動作_ape_1_4fbdc65c,category_resampled,**目標詞彙**：吃早餐,刷牙,動詞,正確的XX方式是由上往下、由內到外,,0.0,0.0,1.0,0.0
1,動作_p03,動作,動作_ape_1_4fbdc65c,category_resampled,**目標詞彙**：吃早餐,削水果,動詞,通常使用在蘋果、梨子、棗子等較硬的果皮上,準備一顆水果，切開後享用,0.7033439874649048,1.0,0.0,0.7923407912254333
1,動作_p03,動作,動作_ape_1_4fbdc65c,category_resampled,**目標詞彙**：吃早餐,剪指甲,動詞,需要使用專門的小工具,,0.0,0.0,1.0,0.0
1,動作_p03,動作,動作_ape_1_4fbdc65c,category_resampled,**目標詞彙**：吃早餐,吃飯,動詞,一天三餐,,0.0,0.0,1.0,0.0
1,動作_p03,動作,動作_ape_1_4fbdc65c,category_resampled,**目標詞彙**：吃早餐,咳嗽,動詞,會泡陳皮和柿餅茶來緩解症狀,咳一口氣，讓肺部清潔一下,0.34028175473213196,1.0,0.0,0.5381972283124923
1,動作_p03,動作,動作_ape_1_4fbdc65c,category_resampled,**目標詞彙**：吃早餐,喝水,動詞,有些人會加入檸檬等來增加味道,每天起床後的第一步動作，就是喝一杯水,0.3393181264400482,1.0,0.0,0.5375226885080338
1,動作_p03,動作,動作_ape_1_4fbdc65c,category_resampled,**目標詞彙**：吃早餐,寫字,動詞,學生上課時經常做的事情,準備紙筆，開始寫作,0.36973488330841064,1.0,0.0,0.5588144183158874
1,動作_p03,動作,動作_ape_1_4fbdc65c,category_resampled,**目標詞彙**：吃早餐,打噴嚏,動詞,生病時會更頻繁發生,,0.0,0.0,1.0,0.0
1,動作_p03,動作,動作_ape_1_4fbdc65c,category_resampled,**目標詞彙**：吃早餐,拍照,動詞,光線、角度和背景會影響結果,準備拍攝時，記得檢查鏡頭和電池,0.2895832061767578,1.0,0.0,0.5027082443237305
1,動作_p03,動作,動作_ape_1_4fbdc65c,category_resampled,**目標詞彙**：吃早餐,掃地,動詞,"搭配拖地效果更好,讓地板變得更潔淨",幫我整理一下家裡的東西，讓地板更乾淨,0.7423048615455627,1.0,0.0,0.8196134030818938
1,動作_p03,動作,動作_ape_1_4fbdc65c,category_resampled,**目標詞彙**：吃早餐,摺衣服,動詞,有些人會用專門的板子來幫助摺整齊,整理衣物，準備一天開始,0.3499916195869446,1.0,0.0,0.5449941337108611
1,動作_p03,動作,動作_ape_1_4fbdc65c,category_resampled,**目標詞彙**：吃早餐,擦桌子,動詞,在餐廳、學校、辦公室都很常見,幫忙擦拭桌面，讓家更乾淨,0.2734951972961426,1.0,0.0,0.49144663810729977
