target_word,pos,main_category,subcategory,reference_best_human_cue,best_prompt,final_generated_cue,semantic_similarity,brevity_score,target_leak_penalty,proxy_score
上廁所,動詞,日常行為,動作,會坐/蹲在馬桶上執行動作,"""生成一句包含動物和地點的自然療癒句子，幫助失語症患者。""",,0.0,0.0,1.0,0.0
下象棋,動詞,日常活動,休閒娛樂,需要理解不同棋子的移動規則才能下得好,"""生成一句包含動物和地點的自然療癒句子，幫助失語症患者。""",會坐在桌前，雙手握著棋子，,0.29329538345336914,1.0,0.0,0.4346363067626953
假牙,名詞,日常起居,輔具,剛戴上時可能會有異物感,"""生成一句包含動物和地點的自然療癒句子，幫助失語症患者。""",適合咀嚼和固定殘齒,0.38391390442848206,1.0,0.0,0.5071311235427857
傘,名詞,日常起居,生活用品,"用完後要晾乾,不然會發霉","""生成一句包含動物和地點的自然療癒句子，幫助失語症患者。""","需要防水設計,防止雨淋",0.4206596314907074,1.0,0.0,0.5365277051925659
公園,名詞,地點,娛樂場所,適合散步、慢跑的區域,"""生成一句包含動物和地點的自然療癒句子，幫助失語症患者。""",遊樂區裡有廣闊的空地和,0.5461229085922241,1.0,0.0,0.6368983268737793
公車,名詞,日常起居,交通工具,票價便宜,"""生成一句包含動物和地點的自然療癒句子，幫助失語症患者。""",,0.0,0.0,1.0,0.0
冰淇淋,名詞,日常飲食,食物,吃起來冰涼黏稠,"""生成一句包含動物和地點的自然療癒句子，幫助失語症患者。""",,0.0,0.0,1.0,0.0
冰箱,名詞,日常起居,電器用品,"長方形,有兩個門","""生成一句包含動物和地點的自然療癒句子，幫助失語症患者。""",冷藏庫、溫控系統、食物保存,0.25175249576568604,1.0,0.0,0.40140199661254883
冷氣,名詞,日常起居,電器用品,開27度可以環保愛地球,"""生成一句包含動物和地點的自然療癒句子，幫助失語症患者。""",,0.0,0.0,1.0,0.0
刷牙,動詞,日常行為,動作,正確的XX方式是由上往下、由內到外,"""生成一句包含動物和地點的自然療癒句子，幫助失語症患者。""",每天早晚各一次,0.2312180995941162,1.0,0.0,0.38497447967529297
