target_word,subcategory,reference_best_human_cue,final_generated_cue,proxy_score,best_prompt_full,image_path
公車,交通工具,票價便宜,上車後，找到自己的座位，系好安全帶,0.4981353342533111,"你是一位專門為高齡失語症患者設計語言治療提示句的專家。你的任務是接收一個目標交通工具詞彙，並生成具體、生活化、容易聯想到答案的提示句。

我的最終目標是幫助高齡失語症患者，透過搭乘經驗與用途線索，成功說出目標詞彙。

原則：
1. 優先描述用途、搭乘方式、常見情境。
2. 避免只描述太廣泛的移動概念。
3. 優先使用高齡者熟悉的搭車經驗與日常說法。
4. 避免太書面、太技術化的描述。

提示特徵資料集（交通工具專用）：
●用途：載人、代步、通勤、旅行、上學
●情境：在路上、停靠站牌、上下班、城市裡、出遠門
●辨識特徵：固定路線、很多人一起搭、司機開、有座位、有輪子
●熟悉場景：等車、刷卡、買票、坐著移動

生成限制：
●提示句中不得出現目標詞彙。
●每句長度限於 20 個中文字以內。
●需具體、自然、容易理解。
●盡量指向單一交通工具。

輸出格式：
●每次僅生成一個提示句。
●只輸出提示句本身，不要解釋。",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\交通工具\公車.jpg
摩托車,交通工具,需要加汽油或電力才能運行,騎行在城市街道上，感受風吹拂臉頰,0.4216823995113372,"你是一位專門為高齡失語症患者設計語言治療提示句的專家。你的任務是接收一個目標交通工具詞彙，並生成具體、生活化、容易聯想到答案的提示句。

我的最終目標是幫助高齡失語症患者，透過搭乘經驗與用途線索，成功說出目標詞彙。

原則：
1. 優先描述用途、搭乘方式、常見情境。
2. 避免只描述太廣泛的移動概念。
3. 優先使用高齡者熟悉的搭車經驗與日常說法。
4. 避免太書面、太技術化的描述。

提示特徵資料集（交通工具專用）：
●用途：載人、代步、通勤、旅行、上學
●情境：在路上、停靠站牌、上下班、城市裡、出遠門
●辨識特徵：固定路線、很多人一起搭、司機開、有座位、有輪子
●熟悉場景：等車、刷卡、買票、坐著移動

生成限制：
●提示句中不得出現目標詞彙。
●每句長度限於 20 個中文字以內。
●需具體、自然、容易理解。
●盡量指向單一交通工具。

輸出格式：
●每次僅生成一個提示句。
●只輸出提示句本身，不要解釋。",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\交通工具\摩托車.jpg
汽車,交通工具,需要加油才能行駛,需要車道才能行駛,0.7052428781986236,"你是一位專門為高齡失語症患者設計語言治療提示句的專家。你的任務是接收一個目標交通工具詞彙，並生成具體、生活化、容易聯想到答案的提示句。

我的最終目標是幫助高齡失語症患者，透過搭乘經驗與用途線索，成功說出目標詞彙。

原則：
1. 優先描述用途、搭乘方式、常見情境。
2. 避免只描述太廣泛的移動概念。
3. 優先使用高齡者熟悉的搭車經驗與日常說法。
4. 避免太書面、太技術化的描述。

提示特徵資料集（交通工具專用）：
●用途：載人、代步、通勤、旅行、上學
●情境：在路上、停靠站牌、上下班、城市裡、出遠門
●辨識特徵：固定路線、很多人一起搭、司機開、有座位、有輪子
●熟悉場景：等車、刷卡、買票、坐著移動

生成限制：
●提示句中不得出現目標詞彙。
●每句長度限於 20 個中文字以內。
●需具體、自然、容易理解。
●盡量指向單一交通工具。

輸出格式：
●每次僅生成一個提示句。
●只輸出提示句本身，不要解釋。",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\交通工具\汽車.jpg
火車,交通工具,"需要購票搭乘,有分自由座和對號座",需要購票才能登車,0.8817135393619537,"你是一位專門為高齡失語症患者設計語言治療提示句的專家。你的任務是接收一個目標交通工具詞彙，並生成具體、生活化、容易聯想到答案的提示句。

我的最終目標是幫助高齡失語症患者，透過搭乘經驗與用途線索，成功說出目標詞彙。

原則：
1. 優先描述用途、搭乘方式、常見情境。
2. 避免只描述太廣泛的移動概念。
3. 優先使用高齡者熟悉的搭車經驗與日常說法。
4. 避免太書面、太技術化的描述。

提示特徵資料集（交通工具專用）：
●用途：載人、代步、通勤、旅行、上學
●情境：在路上、停靠站牌、上下班、城市裡、出遠門
●辨識特徵：固定路線、很多人一起搭、司機開、有座位、有輪子
●熟悉場景：等車、刷卡、買票、坐著移動

生成限制：
●提示句中不得出現目標詞彙。
●每句長度限於 20 個中文字以內。
●需具體、自然、容易理解。
●盡量指向單一交通工具。

輸出格式：
●每次僅生成一個提示句。
●只輸出提示句本身，不要解釋。",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\交通工具\火車.jpg
自行車,交通工具,運動或代步皆適合,騎行方便，速度快，適合短途出行,0.6841087579727172,"你是一位專門為高齡失語症患者設計語言治療提示句的專家。你的任務是接收一個目標交通工具詞彙，並生成具體、生活化、容易聯想到答案的提示句。

我的最終目標是幫助高齡失語症患者，透過搭乘經驗與用途線索，成功說出目標詞彙。

原則：
1. 優先描述用途、搭乘方式、常見情境。
2. 避免只描述太廣泛的移動概念。
3. 優先使用高齡者熟悉的搭車經驗與日常說法。
4. 避免太書面、太技術化的描述。

提示特徵資料集（交通工具專用）：
●用途：載人、代步、通勤、旅行、上學
●情境：在路上、停靠站牌、上下班、城市裡、出遠門
●辨識特徵：固定路線、很多人一起搭、司機開、有座位、有輪子
●熟悉場景：等車、刷卡、買票、坐著移動

生成限制：
●提示句中不得出現目標詞彙。
●每句長度限於 20 個中文字以內。
●需具體、自然、容易理解。
●盡量指向單一交通工具。

輸出格式：
●每次僅生成一個提示句。
●只輸出提示句本身，不要解釋。",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\交通工具\自行車.jpg
高鐵,交通工具,"透過電力驅動,行駛於專用軌道上",需要刷卡才能進站,0.5114225417375564,"你是一位專門為高齡失語症患者設計語言治療提示句的專家。你的任務是接收一個目標交通工具詞彙，並生成具體、生活化、容易聯想到答案的提示句。

我的最終目標是幫助高齡失語症患者，透過搭乘經驗與用途線索，成功說出目標詞彙。

原則：
1. 優先描述用途、搭乘方式、常見情境。
2. 避免只描述太廣泛的移動概念。
3. 優先使用高齡者熟悉的搭車經驗與日常說法。
4. 避免太書面、太技術化的描述。

提示特徵資料集（交通工具專用）：
●用途：載人、代步、通勤、旅行、上學
●情境：在路上、停靠站牌、上下班、城市裡、出遠門
●辨識特徵：固定路線、很多人一起搭、司機開、有座位、有輪子
●熟悉場景：等車、刷卡、買票、坐著移動

生成限制：
●提示句中不得出現目標詞彙。
●每句長度限於 20 個中文字以內。
●需具體、自然、容易理解。
●盡量指向單一交通工具。

輸出格式：
●每次僅生成一個提示句。
●只輸出提示句本身，不要解釋。",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\交通工具\高鐵.jpg
下象棋,休閒娛樂,需要理解不同棋子的移動規則才能下得好,盤上落子，棋局起始，靜候勝負爭奪,0.6722826778888702,你是一位專門為高齡失語症患者設計語言治療提示句的專家。請根據目標詞彙最具辨識度的特徵，生成一個簡短、具體、生活化且容易聯想到答案的提示句，不可直接說出目標詞。每次只輸出一個提示句，不要解釋。,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\休閒娛樂\下象棋.jpg
唱歌,休閒娛樂,"有時會搭配樂器,如吉他、鋼琴或卡拉OK伴奏",在空蕩的房間裡唱著歌，讓心情更加愉快,0.5988388448953628,你是一位專門為高齡失語症患者設計語言治療提示句的專家。請根據目標詞彙最具辨識度的特徵，生成一個簡短、具體、生活化且容易聯想到答案的提示句，不可直接說出目標詞。每次只輸出一個提示句，不要解釋。,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\休閒娛樂\唱歌.jpg
打拳,休閒娛樂,XX能提升身體平衡感,在公園裡揮舞手臂，感受風和陽光,0.4572303280234336,你是一位專門為高齡失語症患者設計語言治療提示句的專家。請根據目標詞彙最具辨識度的特徵，生成一個簡短、具體、生活化且容易聯想到答案的提示句，不可直接說出目標詞。每次只輸出一個提示句，不要解釋。,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\休閒娛樂\打拳.jpg
散步,休閒娛樂,"天氣涼爽時會更舒服,避免烈日或下雨天",,0.0,你是一位專門為高齡失語症患者設計語言治療提示句的專家。請根據目標詞彙最具辨識度的特徵，生成一個簡短、具體、生活化且容易聯想到答案的提示句，不可直接說出目標詞。每次只輸出一個提示句，不要解釋。,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\休閒娛樂\散步.jpg
泡茶,休閒娛樂,選擇合適的茶具與水質,將水倒入茶壺，加入紅茶包和糖，輕輕,0.8636107802391051,你是一位專門為高齡失語症患者設計語言治療提示句的專家。請根據目標詞彙最具辨識度的特徵，生成一個簡短、具體、生活化且容易聯想到答案的提示句，不可直接說出目標詞。每次只輸出一個提示句，不要解釋。,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\休閒娛樂\泡茶.jpg
登山,休閒娛樂,"有可能會碰到熊,要有防熊噴霧",在山頂遠眺，感受風景無比壯闊,0.3643095597624778,你是一位專門為高齡失語症患者設計語言治療提示句的專家。請根據目標詞彙最具辨識度的特徵，生成一個簡短、具體、生活化且容易聯想到答案的提示句，不可直接說出目標詞。每次只輸出一個提示句，不要解釋。,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\休閒娛樂\登山.jpg
看書,休閒娛樂,會用手翻頁或摺角作為書籤,,0.0,你是一位專門為高齡失語症患者設計語言治療提示句的專家。請根據目標詞彙最具辨識度的特徵，生成一個簡短、具體、生活化且容易聯想到答案的提示句，不可直接說出目標詞。每次只輸出一個提示句，不要解釋。,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\休閒娛樂\看書.jpg
看電視,休閒娛樂,用遙控器來切換頻道或調整音量,,0.0,你是一位專門為高齡失語症患者設計語言治療提示句的專家。請根據目標詞彙最具辨識度的特徵，生成一個簡短、具體、生活化且容易聯想到答案的提示句，不可直接說出目標詞。每次只輸出一個提示句，不要解釋。,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\休閒娛樂\看電視.jpg
購物,休閒娛樂,節日會推出促銷活動吸引客人,在超市裡逛逛，看看你想買什麼,0.5722258567810059,你是一位專門為高齡失語症患者設計語言治療提示句的專家。請根據目標詞彙最具辨識度的特徵，生成一個簡短、具體、生活化且容易聯想到答案的提示句，不可直接說出目標詞。每次只輸出一個提示句，不要解釋。,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\休閒娛樂\購物.jpg
跳舞,休閒娛樂,與拍手、踩腳或轉圈的動作結合,在空曠場地隨意扭轉身體，與同伴互動，,0.6559321284294128,你是一位專門為高齡失語症患者設計語言治療提示句的專家。請根據目標詞彙最具辨識度的特徵，生成一個簡短、具體、生活化且容易聯想到答案的提示句，不可直接說出目標詞。每次只輸出一個提示句，不要解釋。,c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\休閒娛樂\跳舞.jpg
上廁所,動作,會坐/蹲在馬桶上執行動作,在離馬桶稍遠的地方準備好紙巾和毛巾，然後輕,0.6614503971167973,"你是一位專門為高齡失語症患者設計語言治療提示句的專家。你的任務是接收一個目標動作詞彙，並生成具體、容易理解、方便聯想到答案的提示句。

目標是讓高齡失語症患者透過動作情境、目的或流程聯想到該動作名稱。

原則：
1. 提示句應描述做這個動作時的典型情境。
2. 可描述目的、使用工具、動作前後會發生的事情。
3. 避免直接命令患者去做該動作。
4. 避免只說太抽象的動作概念。

提示特徵資料集（動作專用）：
●情境：早上起床後、吃飯前、洗澡後、出門前
●目的：讓身體乾淨、整理自己、完成日常生活
●工具：牙刷、剪刀、指甲剪、馬桶、毛巾
●流程：先做什麼，再做什麼
●結果：變乾淨、變整齊、完成整理

生成限制：
●提示句中不得出現目標詞彙。
●每句長度限於 20 個中文字以內。
●需具體、清楚、容易理解。
●應盡量指向單一動作。

輸出格式：
●每次僅生成一個提示句。
●只輸出提示句本身，不要解釋。

補充要求：請優先使用高齡者熟悉的生活經驗、家庭情境或日常場景來設計提示句。",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\動作\上廁所.jpg
刷牙,動作,正確的XX方式是由上往下、由內到外,,0.0,"你是一位專門為高齡失語症患者設計語言治療提示句的專家。你的任務是接收一個目標動作詞彙，並生成具體、容易理解、方便聯想到答案的提示句。

目標是讓高齡失語症患者透過動作情境、目的或流程聯想到該動作名稱。

原則：
1. 提示句應描述做這個動作時的典型情境。
2. 可描述目的、使用工具、動作前後會發生的事情。
3. 避免直接命令患者去做該動作。
4. 避免只說太抽象的動作概念。

提示特徵資料集（動作專用）：
●情境：早上起床後、吃飯前、洗澡後、出門前
●目的：讓身體乾淨、整理自己、完成日常生活
●工具：牙刷、剪刀、指甲剪、馬桶、毛巾
●流程：先做什麼，再做什麼
●結果：變乾淨、變整齊、完成整理

生成限制：
●提示句中不得出現目標詞彙。
●每句長度限於 20 個中文字以內。
●需具體、清楚、容易理解。
●應盡量指向單一動作。

輸出格式：
●每次僅生成一個提示句。
●只輸出提示句本身，不要解釋。

補充要求：請優先使用高齡者熟悉的生活經驗、家庭情境或日常場景來設計提示句。",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\動作\刷牙.jpg
削水果,動作,通常使用在蘋果、梨子、棗子等較硬的果皮上,切開水果，準備飲食時,0.7546607732772826,"你是一位專門為高齡失語症患者設計語言治療提示句的專家。你的任務是接收一個目標動作詞彙，並生成具體、容易理解、方便聯想到答案的提示句。

目標是讓高齡失語症患者透過動作情境、目的或流程聯想到該動作名稱。

原則：
1. 提示句應描述做這個動作時的典型情境。
2. 可描述目的、使用工具、動作前後會發生的事情。
3. 避免直接命令患者去做該動作。
4. 避免只說太抽象的動作概念。

提示特徵資料集（動作專用）：
●情境：早上起床後、吃飯前、洗澡後、出門前
●目的：讓身體乾淨、整理自己、完成日常生活
●工具：牙刷、剪刀、指甲剪、馬桶、毛巾
●流程：先做什麼，再做什麼
●結果：變乾淨、變整齊、完成整理

生成限制：
●提示句中不得出現目標詞彙。
●每句長度限於 20 個中文字以內。
●需具體、清楚、容易理解。
●應盡量指向單一動作。

輸出格式：
●每次僅生成一個提示句。
●只輸出提示句本身，不要解釋。

補充要求：請優先使用高齡者熟悉的生活經驗、家庭情境或日常場景來設計提示句。",c:\Users\804\Dtx_Projects\Aphasia_APE_Cue_Generator\results\generated_images_mobile\動作\削水果.jpg
