詞性,種類,細項,目標詞彙,提示,評分區(林治療師評分區),評分區(王治療師評分區),評分區(邱治療師評分區)
名詞,日常飲食,水果,蘋果,一種紅色圓形的水果,2,1,1
名詞,日常飲食,水果,蘋果,富士山盛產的水果,6,3,2
名詞,日常飲食,水果,蘋果,一日一XX，醫生遠離我,4,2,6
名詞,日常飲食,水果,蘋果,媽媽用刀子削XX,3,6,4
名詞,日常飲食,水果,蘋果,我去菜市場買一顆XX,1,4,3
名詞,日常飲食,水果,蘋果,可能會打蠟,5,5,5
名詞,日常飲食,水果,香蕉,猴子愛吃的水果,1,1,2
名詞,日常飲食,水果,香蕉,熱帶地區常見的彎曲狀水果,6,3,5
名詞,日常飲食,水果,香蕉,運動後常用來補充能量的水果,5,4,4
名詞,日常飲食,水果,香蕉,我吃一根黃色的XX,2,2,1
名詞,日常飲食,水果,香蕉,未成熟呈綠色，熟成後為鮮黃，表皮可能出現黑色斑點,4,6,3
名詞,日常飲食,水果,香蕉,台灣的旗山種很多,3,5,6
名詞,日常飲食,水果,鳳梨,皮是刺刺的，果肉是黃色的,1,2,2
名詞,日常飲食,水果,鳳梨,酸甜多汁，適合做果汁,4,4,4
名詞,日常飲食,水果,鳳梨,台灣的金鑽品種很有名,3,1,3
名詞,日常飲食,水果,鳳梨,需要削掉外皮才能吃,5,3,5
名詞,日常飲食,水果,鳳梨,切開後有特殊香氣,6,6,6
名詞,日常飲食,水果,鳳梨,我要吃酸酸的XX,2,5,1
名詞,日常飲食,水果,草莓,紅色的，表面有很多黑色小種子,1,2,4
名詞,日常飲食,水果,草莓,形狀像愛心，吃起來酸酸甜甜的水果,4,3,5
名詞,日常飲食,水果,草莓,苗栗大湖盛產的水果,2,１,3
名詞,日常飲食,水果,草莓,有綠色的蒂頭,5,4,6
名詞,日常飲食,水果,草莓,很多人愛吃XX,3,5,2
名詞,日常飲食,水果,草莓,這是一顆草X,6,6,1
名詞,日常飲食,水果,葡萄,紫色外皮小小一顆，圓圓的，通常會剝皮吃,1,1,3
名詞,日常飲食,水果,葡萄,一串串地掛在藤蔓上生長,2,6,2
名詞,日常飲食,水果,葡萄,常用來釀成酒的水果,4,5,5
名詞,日常飲食,水果,葡萄,它的籽可以榨成油,5,3,6
名詞,日常飲食,水果,葡萄,有紫色、綠色或紅色，甜甜的多汁,6,4,4
名詞,日常飲食,水果,葡萄,我買一串紫色的XX,3,2,1
名詞,日常飲食,水果,芒果,我最愛吃XX,3,6,4
名詞,日常飲食,水果,芒果,是一種紅色的水果長的圓圓的,1,3,2
名詞,日常飲食,水果,芒果,削皮後可以直接吃,2,5,5
名詞,日常飲食,水果,芒果,台灣愛文品種特別有名,4,1,1
名詞,日常飲食,水果,芒果,可以做冰沙、果乾等,5,2,3
名詞,日常飲食,水果,芒果,帶有濃郁的甜香氣味,6,4,6
名詞,日常飲食,蔬菜,青椒,形狀像燈籠，顏色有綠、紅、黃,1,1,3
名詞,日常飲食,蔬菜,青椒,味道帶點微苦,4,4,5
名詞,日常飲食,蔬菜,青椒,可以炒、烤、做沙拉,5,3,4
名詞,日常飲食,蔬菜,青椒,內部有籽和白色的膜,6,2,6
名詞,日常飲食,蔬菜,青椒,菜市場有在賣XX,2,5,1
名詞,日常飲食,蔬菜,青椒,媽媽炒一盤XX,3,6,2
名詞,日常飲食,蔬菜,白蘿蔔,煮湯或燉菜的常見蔬菜,3,6,3
名詞,日常飲食,蔬菜,白蘿蔔,長長的形狀是白色的,1,3,2
名詞,日常飲食,蔬菜,白蘿蔔,我煮排骨加XXX,2,5,1
名詞,日常飲食,蔬菜,白蘿蔔,台灣的蘿蔔糕就是用它做的,4,1,4
名詞,日常飲食,蔬菜,白蘿蔔,可以做泡菜、煮湯、燉肉等,6,2,5
名詞,日常飲食,蔬菜,白蘿蔔,冬天產季的特別甜,5,4,6
名詞,日常飲食,食物,米,亞洲人常見的主食，白色顆粒,4,2,6
名詞,日常飲食,食物,米,可做成壽司、飯糰和粥等美食,1,1,4
名詞,日常飲食,食物,米,煮後變軟可食用,5,5,5
